ORF	best_label	labels
ORF1	1	1
ORF2	2	2
ORF3	3	3
ORF4	1	1
ORF5	1	1
ORF6	2	2
ORF7	1	1
ORF8	2	2
ORF9	1	1
ORF10	2	2
ORF11	2	2
ORF12	2	2
ORF13	2	2
ORF14	2	2
ORF15	2	2
ORF16	2	2
ORF17	1	1
ORF18	1	1
ORF19	3	3
ORF20	1	1
ORF21	1	1
ORF22	2	2
ORF23	2	2
ORF24	2	2
ORF25	2	2
ORF26	2	2
ORF27	2	2
ORF28	3	3
ORF29	3	3
ORF30	1	1
ORF31	1	1
ORF32	4	4
ORF33	2	2
ORF34	1	1
ORF35.5	2	2
ORF35	2	2
ORF36	2	2
ORF37	3	3
ORF38	1	1
ORF39	2	2
CTO	2	2
ORF40	2	2
ORF41	2	2
ORF42	2	2
ORF43	2	2
ORF44	2	2
ORF45	2	2
ORF46	2	2
ORF48	2	2
ORF49	2	2
ORF50	1	1
ORF51	3	3
ORF52	2	2
ORF53	1	1
ORF54	2	2
ORF55	3	3
ORF56	2	2
ORF57	2	2
ORF58	2	2
ORF59	2	2
ORF60	2	2
ORF61	1	1
ORF62	2	2
ORF63	1	1
ORF64_1	5	5
NOIR_1	2	2
ORF65_1	1	1
ORF66_1	3	3
ORF67_1	1	1
ORF68	2	2
ORF69	1	1
ORF70	4	4
ORF71	2	2
ORF72	2	2
ORF73	2	2
ORF74	4	4
ORF75	1	1
ORF76	3	3
NOIR_2	1	1
