sample	read_count
EHV-1_12h_1	910262
EHV-1_12h_2	644045
EHV-1_12h_3	721285
EHV-1_18h_1	824815
EHV-1_18h_2	674984
EHV-1_18h_3	631722
EHV-1_1h_1	744610
EHV-1_1h_2	761747
EHV-1_1h_3	941085
EHV-1_24h_1	399751
EHV-1_24h_2	346581
EHV-1_24h_3	296955
EHV-1_2h_1	1727494
EHV-1_2h_2	1518749
EHV-1_2h_3	1286365
EHV-1_48h_1	563909
EHV-1_48h_2	495996
EHV-1_48h_3	533016
EHV-1_4h_1	420207
EHV-1_4h_2	461041
EHV-1_4h_3	535278
EHV-1_6h_1	690272
EHV-1_6h_2	703832
EHV-1_6h_3	729143
EHV-1_8h_1	502683
EHV-1_8h_2	622941
EHV-1_8h_3	819919
